Código	Semestre	id	Nome	CH	Pre-requisito	Natureza	Categoria	Departamento	OBS	Nova ementa?	Ementa proposta
	1	ISD	Introdução aos sistemas digitais	60		OB	Básica	DCC	Baseada em MATA38, PCL?	✔	Sistemas de numeração e conversão de base; representação de números em ponto fixo e ponto flutuante; portas lógicas. Álgebra de Boole. Circuitos combinacionais. Circuitos aritméticos. Circuitos sequenciais. Registradores. Contadores. Memória.
	1	ILP	Introdução à Lógica de Programação	60		OB	Básica	DCC	Remove Pascal da ementa	✔	Desenvolvimento de algoritmos. Refinamento sucessivo. Noções de especificação e correção de algoritmos. Construção de programas aplicando conceitos de construção de algoritmos: variáveis, constantes, operadores aritméticos e expressões, estruturas de controle (atribuição, sequência, seleção, repetição, recursão). Parâmetros. Princípios de programação estruturada e modular. Documentação de programas. Teste de programas. Análise de resultados.
MAT198	1	FME	Fundamentos de Matemática Elementar I-A	90		OB	Básica	DMAT			Abordagem ao nível de 3º grau de alguns tópicos de álgebra e de funções elementares que fazem parte do programa do 2º grau.
	1	EMADH	Ética, meio ambiente e direitos humanos	60		OB	Complementar	DCC	Baseada em MATA68, Compusoc?	✔	(PENDENTE)
MATA01	1	GA	Geometria analítica	60		OB	Básica	DMAT			Álgebra vetorial. A translação e a rotação de eixos. A reta e o plano no espaço R3. As cônicas. As superfícies de revolução.
MATA48	2	ARQ	Arquitetura de Computadores	60	ISD	OB	Básica	DCC	=MATA48?		A máquina de von Neumann: conceito, arquitetura lógica e funcional; unidades funcionais: cpu, memória: memória cache; dispositivos de e/s e barramento. Tipos de instrução e de endereçamento, fluxo de controle. Memória virtual, instruções de e/s virtuais, instruções virtuais para processamento paralelo. Mecanismos de interrupção. Arquiteturas micro e nanoprogramadas. Introdução à arquiteturas avançadas: pipeline, múltiplas unidades funcionais e máquinas paralelas: processadores RISC e CISC: conceito de máquina virtual: tendências. Noções de avaliação de desempenho e importância da corretude dos dados estatísticos gerados pela avaliação. Impactos sócio-ambientais do ciclo de vida do hardware.
MATA40	2	ED1	Estruturas de Dados e Algoritmos I	60	ILP	OB	Básica	DCC	=MATA40?		Introdução à análise de algoritmos. Tipos Abstratos de Dados. Estruturas de dados fundamentais: listas, filas, pilhas, árvores e heaps. Algoritmos de busca em memória principal.
MATA02	2	CALCA	Cálculo A	90	FME	OB	Básica	DMAT			As funções polinomiais e as funções racionais. A interpolação por polinômios. O limite e a continuidade de funções reais de uma variável real: principais propriedades. A derivada de funções reais de uma variável real. As propriedades da derivada de tais funções. Os extremantes de funções reais de uma variável real e o polinômio de Taylor. A construção do gráfico de tais funções. A integral de uma função real definida em um intervalo limitado e fechado. Principais teoremas. O cálculo de primitivas de funções reais.
	2	DISCR	Matemática Discreta	90	FME	OB	Básica	DCI	=MATA42 + MATA97?	✔	Relações (equivalência e ordem), Indução, Álgebra (inteiros e grupo), Análise combinatória, Reticulado.
	2	OPT-2-10	OPTATIVA de Humanidades	60		OP					
	3	POO	Programação Orientada a Objetos	60	ILP	OB	Básica	DCC	Remove Java da ementa	✔	Conceitos de Orientação a Objetos. Programação orientada a objetos: Implementação de classes, herança, polimorfismo, comunicação e associação. Conceito de reuso. Exemplos de implementação dos conceitos estudados em mais de uma linguagem orientada a objeto.
MATA54	3	ED2	Estruturas de Dados e Algoritmos II	60	ED1	OB	Básica	DCC	=MATA54?, EDA2?		Dispositivos de armazenamento secundário. Algoritmos de busca em texto. Arquivos com organização sequencial ( busca sequencial, busca por interpolação, busca binária). Arquivos com organização direta ( funções de hashing, métodos de resolução de colisão). Arquivos com organização em árvore (árvores-B e suas variações). Busca aproximada de padrões. Busca por chave secundária. Busca por faixas de valores. Ordenação externa. Compressão.
MATA95	3	CALCCC	Complementos de Cálculo	90	GA, CALCA	OB	Básica	DMAT	Idêntico a MATA95 (Complementos de Cálculo). Por que nova disciplina?		Aplicações de integrais simples. Conceito, propriedade e aplicações de integrais duplas. As derivadas parciais de funções reais de duas variáveis. O conceito de diferenciabilidade e a construção do plano tangente ao gráfico de tais funções. As curvas de nível. Noções de equações diferenciais. Noções das séries de potências e das séries de Fourier.
MAT236	3	EST	Métodos estatísticos	60	CALCA	OB	Básica	DEST			Aspectos preliminares do trabalho estatístico. Séries estatísticas e representação gráfica. Médias. Separatrizes. Principais medidas de dispersão. Conceito, teoremas e leis de probabilidade. Distribuições de probabilidades. Distribuições amostrais. Intervalos de confiança. Teste de hipótese. Correlação e regressão linear simples. Ajustamento de funções matemáticas pelo método dos mínimos quadrados.
MATA47	3	LOGICA	Lógica para computação	60	DISCR	OB	Básica	DCC			Técnicas de demonstração. Conceito de Lógica: sintaxe, semântica. Propriedades da lógica clássica. Lógica Proposicional e de Primeira Ordem. Métodos dedutivos como: axiomático, dedução natural, cálculo de sequentes, tableaux, resolução. Conceito de correção e completeza. Aplicações da lógica.
	4	ES	Engenharia de Software	60	POO	OB	Profissional	DCC	ES1 + ES2	✔	Introdução à engenharia de software. Ciclo de vida de um software. Modelos de processos de desenvolvimento de software. Requisitos de software. Projeto de software. Verificação e validação de software. Evolução de software.
	4	GRAFOS	Teoria dos Grafos	60	DISCR	OB	Básica	DCC	=MATA53?	✔	(PENDENTE)
MATA50	4	LFA	Linguagens Formais e Autômatos	60	LOGICA	OB	Básica	DCC	=MATA50?		Conceito de linguagem. Hierarquia de Chomsky. Linguagens regulares e expressões regulares. Reconhecedores, geradores e propriedades das linguagens discriminadas na hierarquia de Chomsky. Ambiguidade e simplificação de gramáticas livres de contexto. Formas normais de gramáticas livres de contexto.
	4	PLP	Paradigmas de Linguagens de Programação	60	POO	OB	Básica	DCC		✔	Evolução e critérios de avaliação de linguagens de programação. Sintaxe, verificação semântica e modelos de execução. Variáveis, vinculação, escopo, tempo de vida e gerenciamento de memória. Sistemas de tipos, mutabilidade e estratégias de avaliação. Mecanismos de abstração, subrotinas, passagem de parâmetros e polimorfismo. Programação funcional. Programação concorrente e assíncrona.
	4	OPT-7-39	OPTATIVA Livre	60		OP					
MATA58	5	SO	Sistemas Operacionais	60	ARQ	OB	Básica	DCC	=MATA58?, correção de typo		Estruturas de sistemas operacionais. Sistemas operacionais centralizados: gerenciamento de processos; mecanismos de comunicação entre processos; sincronização de processos; mecanismos de entrada e saída; gerenciamento de memória; sistemas de arquivos; proteção e segurança. Introdução a sistemas distribuídos. Estudos de casos de sistemas operacionais existentes. Aspectos éticos relacionados à segurança de sistemas.
